N,seq_time_ms,par_time_ms,comp_time_s,comp_time_p,transfer_time_ms,data_MB,ops_s,ops_p,mops_s,mops_p,speedup,efficiency_%,correct_s,correct_p,threads
5000,113.862400,312.123623,103.918384,302.179607,9.944016,189.667053,25000000,31116295,219.563262,99.692214,0.364799,4.559988,1,1,8
10000,553.212147,811.639590,513.227408,771.654851,39.984739,762.648369,100000000,125080257,180.762481,154.108127,0.681598,8.519978,1,1,8
50000,14520.382929,4030.214888,13526.542177,3036.374136,993.840752,18956.007996,2500000000,3105765243,172.171768,770.620260,3.602881,45.036007,1,1,8
100000,59128.508885,19277.054099,55133.724335,15282.269549,3994.784550,76194.468491,10000000000,12487566990,169.123155,647.794363,3.067300,38.341251,1,1,8
